INFO - main.py - 2022-09-04 15:50:50,082 - Using device:cuda
INFO - main.py - 2022-09-04 15:50:50,086 - Writing log file to algorithms/A2C_GAE/logs
INFO - main.py - 2022-09-04 15:50:50,086 - Exp instance id = 8919
INFO - main.py - 2022-09-04 15:50:50,087 - Exp comment = 
INFO - main.py - 2022-09-04 15:50:53,408 - Start Training! Env: CartPole-v0, Algorithm: A2C_GAE
INFO - main.py - 2022-09-04 15:51:12,386 - episode: 154, steps: 18, reward: 18.0
INFO - main.py - 2022-09-04 15:51:12,423 - episode: 155, steps: 8, reward: 8.0
INFO - main.py - 2022-09-04 15:51:12,470 - episode: 156, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 15:51:12,509 - episode: 157, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:12,556 - episode: 158, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 15:51:12,607 - episode: 159, steps: 20, reward: 20.0
INFO - main.py - 2022-09-04 15:51:12,662 - episode: 160, steps: 19, reward: 19.0
INFO - main.py - 2022-09-04 15:51:12,704 - episode: 161, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:12,739 - episode: 162, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:12,786 - episode: 163, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 15:51:12,822 - episode: 164, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:12,868 - episode: 165, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:12,908 - episode: 166, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:12,954 - episode: 167, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:12,993 - episode: 168, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:13,029 - episode: 169, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:13,069 - episode: 170, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:13,109 - episode: 171, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:13,148 - episode: 172, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:13,183 - episode: 173, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:13,229 - episode: 174, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:13,264 - episode: 175, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:13,300 - episode: 176, steps: 8, reward: 8.0
