INFO - main.py - 2022-08-27 12:08:37,878 - Using device:cuda
INFO - main.py - 2022-08-27 12:08:37,880 - Writing log file to algorithms/QLearning/logs
INFO - main.py - 2022-08-27 12:08:37,880 - Exp instance id = 17274
INFO - main.py - 2022-08-27 12:08:37,881 - Exp comment = 
INFO - main.py - 2022-08-27 12:08:38,008 - Start Training! Env: CliffWalking-v0, Algorithm: QLearning
INFO - main.py - 2022-08-27 12:08:38,879 - episode: 218, steps: 33, reward: -33
INFO - main.py - 2022-08-27 12:08:38,882 - episode: 219, steps: 28, reward: -28
INFO - main.py - 2022-08-27 12:08:38,883 - episode: 220, steps: 16, reward: -16
INFO - main.py - 2022-08-27 12:08:38,885 - episode: 221, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:38,887 - episode: 222, steps: 25, reward: -25
INFO - main.py - 2022-08-27 12:08:38,890 - episode: 223, steps: 23, reward: -23
INFO - main.py - 2022-08-27 12:08:38,892 - episode: 224, steps: 22, reward: -22
INFO - main.py - 2022-08-27 12:08:38,894 - episode: 225, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:38,896 - episode: 226, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:08:38,898 - episode: 227, steps: 16, reward: -16
INFO - main.py - 2022-08-27 12:08:38,900 - episode: 228, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:08:38,902 - episode: 229, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:08:38,904 - episode: 230, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:08:38,906 - episode: 231, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:08:38,908 - episode: 232, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:08:38,910 - episode: 233, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:08:38,912 - episode: 234, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:08:38,914 - episode: 235, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:08:38,915 - episode: 236, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:38,917 - episode: 237, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:08:38,920 - episode: 238, steps: 24, reward: -24
INFO - main.py - 2022-08-27 12:08:38,922 - episode: 239, steps: 22, reward: -22
INFO - main.py - 2022-08-27 12:08:38,924 - episode: 240, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:08:38,926 - episode: 241, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:08:38,929 - episode: 242, steps: 36, reward: -36
INFO - main.py - 2022-08-27 12:08:38,931 - episode: 243, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:38,934 - episode: 244, steps: 22, reward: -22
INFO - main.py - 2022-08-27 12:08:38,936 - episode: 245, steps: 18, reward: -18
INFO - main.py - 2022-08-27 12:08:38,938 - episode: 246, steps: 14, reward: -14
INFO - main.py - 2022-08-27 12:08:38,941 - episode: 247, steps: 24, reward: -24
INFO - main.py - 2022-08-27 12:08:38,944 - episode: 248, steps: 18, reward: -18
INFO - main.py - 2022-08-27 12:08:38,946 - episode: 249, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:38,949 - episode: 250, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:08:38,951 - episode: 251, steps: 18, reward: -18
INFO - main.py - 2022-08-27 12:08:38,954 - episode: 252, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:38,958 - episode: 253, steps: 25, reward: -25
INFO - main.py - 2022-08-27 12:08:38,961 - episode: 254, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:38,963 - episode: 255, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:08:38,967 - episode: 256, steps: 23, reward: -23
INFO - main.py - 2022-08-27 12:08:38,969 - episode: 257, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:08:38,971 - episode: 258, steps: 14, reward: -14
INFO - main.py - 2022-08-27 12:08:38,973 - episode: 259, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:08:38,976 - episode: 260, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:08:38,978 - episode: 261, steps: 14, reward: -14
INFO - main.py - 2022-08-27 12:08:38,979 - episode: 262, steps: 14, reward: -14
INFO - main.py - 2022-08-27 12:08:38,982 - episode: 263, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:08:38,984 - episode: 264, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:08:38,986 - episode: 265, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:08:38,988 - episode: 266, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:08:38,989 - episode: 267, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:38,992 - episode: 268, steps: 30, reward: -30
INFO - main.py - 2022-08-27 12:08:38,994 - episode: 269, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:38,996 - episode: 270, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:38,997 - episode: 271, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:08:39,000 - episode: 272, steps: 23, reward: -23
INFO - main.py - 2022-08-27 12:08:39,002 - episode: 273, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:08:39,004 - episode: 274, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:39,008 - episode: 275, steps: 31, reward: -31
INFO - main.py - 2022-08-27 12:08:39,010 - episode: 276, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:08:39,012 - episode: 277, steps: 14, reward: -14
INFO - main.py - 2022-08-27 12:08:39,014 - episode: 278, steps: 14, reward: -113
INFO - main.py - 2022-08-27 12:08:39,016 - episode: 279, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:39,018 - episode: 280, steps: 16, reward: -16
INFO - main.py - 2022-08-27 12:08:39,020 - episode: 281, steps: 14, reward: -14
INFO - main.py - 2022-08-27 12:08:39,022 - episode: 282, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:08:39,024 - episode: 283, steps: 23, reward: -23
INFO - main.py - 2022-08-27 12:08:39,026 - episode: 284, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:39,028 - episode: 285, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:39,029 - episode: 286, steps: 13, reward: -13
