INFO - main.py - 2022-09-04 10:41:40,548 - Using device:cuda
INFO - main.py - 2022-09-04 10:41:40,550 - Writing log file to algorithms/A2C/logs
INFO - main.py - 2022-09-04 10:41:40,551 - Exp instance id = 30262
INFO - main.py - 2022-09-04 10:41:40,551 - Exp comment = 
INFO - main.py - 2022-09-04 10:41:44,169 - Start Training! Env: CartPole-v0, Algorithm: A2C
INFO - main.py - 2022-09-04 10:42:12,829 - episode: 239, steps: 46, reward: 46.0
INFO - main.py - 2022-09-04 10:42:12,927 - episode: 240, steps: 52, reward: 52.0
INFO - main.py - 2022-09-04 10:42:12,994 - episode: 241, steps: 30, reward: 30.0
INFO - main.py - 2022-09-04 10:42:13,067 - episode: 242, steps: 33, reward: 33.0
INFO - main.py - 2022-09-04 10:42:13,160 - episode: 243, steps: 48, reward: 48.0
INFO - main.py - 2022-09-04 10:42:13,235 - episode: 244, steps: 35, reward: 35.0
INFO - main.py - 2022-09-04 10:42:13,305 - episode: 245, steps: 31, reward: 31.0
INFO - main.py - 2022-09-04 10:42:13,390 - episode: 246, steps: 42, reward: 42.0
INFO - main.py - 2022-09-04 10:42:13,490 - episode: 247, steps: 53, reward: 53.0
INFO - main.py - 2022-09-04 10:42:13,671 - episode: 248, steps: 112, reward: 112.0
INFO - main.py - 2022-09-04 10:42:13,918 - episode: 249, steps: 161, reward: 161.0
INFO - main.py - 2022-09-04 10:42:14,038 - episode: 250, steps: 67, reward: 67.0
INFO - main.py - 2022-09-04 10:42:14,112 - episode: 251, steps: 33, reward: 33.0
INFO - main.py - 2022-09-04 10:42:14,297 - episode: 252, steps: 117, reward: 117.0
INFO - main.py - 2022-09-04 10:42:14,443 - episode: 253, steps: 88, reward: 88.0
INFO - main.py - 2022-09-04 10:42:14,511 - episode: 254, steps: 29, reward: 29.0
INFO - main.py - 2022-09-04 10:42:14,602 - episode: 255, steps: 46, reward: 46.0
INFO - main.py - 2022-09-04 10:42:14,663 - episode: 256, steps: 24, reward: 24.0
INFO - main.py - 2022-09-04 10:42:14,740 - episode: 257, steps: 37, reward: 37.0
INFO - main.py - 2022-09-04 10:42:14,826 - episode: 258, steps: 43, reward: 43.0
INFO - main.py - 2022-09-04 10:42:14,974 - episode: 259, steps: 89, reward: 89.0
INFO - main.py - 2022-09-04 10:42:15,052 - episode: 260, steps: 37, reward: 37.0
INFO - main.py - 2022-09-04 10:42:15,113 - episode: 261, steps: 25, reward: 25.0
INFO - main.py - 2022-09-04 10:42:15,239 - episode: 262, steps: 73, reward: 73.0
INFO - main.py - 2022-09-04 10:42:15,372 - episode: 263, steps: 77, reward: 77.0
INFO - main.py - 2022-09-04 10:42:15,463 - episode: 264, steps: 48, reward: 48.0
INFO - main.py - 2022-09-04 10:42:15,582 - episode: 265, steps: 68, reward: 68.0
INFO - main.py - 2022-09-04 10:42:15,643 - episode: 266, steps: 24, reward: 24.0
INFO - main.py - 2022-09-04 10:42:15,732 - episode: 267, steps: 44, reward: 44.0
INFO - main.py - 2022-09-04 10:42:15,836 - episode: 268, steps: 57, reward: 57.0
INFO - main.py - 2022-09-04 10:42:15,948 - episode: 269, steps: 62, reward: 62.0
INFO - main.py - 2022-09-04 10:42:16,054 - episode: 270, steps: 58, reward: 58.0
INFO - main.py - 2022-09-04 10:42:16,205 - episode: 271, steps: 92, reward: 92.0
INFO - main.py - 2022-09-04 10:42:16,314 - episode: 272, steps: 60, reward: 60.0
INFO - main.py - 2022-09-04 10:42:16,416 - episode: 273, steps: 55, reward: 55.0
INFO - main.py - 2022-09-04 10:42:16,531 - episode: 274, steps: 65, reward: 65.0
INFO - main.py - 2022-09-04 10:42:16,750 - episode: 275, steps: 141, reward: 141.0
INFO - main.py - 2022-09-04 10:42:16,824 - episode: 276, steps: 35, reward: 35.0
INFO - main.py - 2022-09-04 10:42:16,974 - episode: 277, steps: 91, reward: 91.0
INFO - main.py - 2022-09-04 10:42:17,066 - episode: 278, steps: 48, reward: 48.0
INFO - main.py - 2022-09-04 10:42:17,179 - episode: 279, steps: 61, reward: 61.0
INFO - main.py - 2022-09-04 10:42:17,263 - episode: 280, steps: 43, reward: 43.0
INFO - main.py - 2022-09-04 10:42:17,414 - episode: 281, steps: 89, reward: 89.0
INFO - main.py - 2022-09-04 10:42:17,485 - episode: 282, steps: 31, reward: 31.0
INFO - main.py - 2022-09-04 10:42:17,694 - episode: 283, steps: 132, reward: 132.0
INFO - main.py - 2022-09-04 10:42:17,793 - episode: 284, steps: 54, reward: 54.0
INFO - main.py - 2022-09-04 10:42:17,913 - episode: 285, steps: 66, reward: 66.0
INFO - main.py - 2022-09-04 10:42:18,102 - episode: 286, steps: 118, reward: 118.0
INFO - main.py - 2022-09-04 10:42:18,214 - episode: 287, steps: 62, reward: 62.0
INFO - main.py - 2022-09-04 10:42:18,325 - episode: 288, steps: 59, reward: 59.0
INFO - main.py - 2022-09-04 10:42:18,416 - episode: 289, steps: 47, reward: 47.0
INFO - main.py - 2022-09-04 10:42:18,563 - episode: 290, steps: 85, reward: 85.0
INFO - main.py - 2022-09-04 10:42:18,686 - episode: 291, steps: 73, reward: 73.0
INFO - main.py - 2022-09-04 10:42:18,759 - episode: 292, steps: 32, reward: 32.0
