INFO - main.py - 2022-09-02 02:35:04,690 - Using device:cuda
INFO - main.py - 2022-09-02 02:35:04,692 - Writing log file to algorithms/BaselineReinforce/logs
INFO - main.py - 2022-09-02 02:35:04,692 - Exp instance id = 27627
INFO - main.py - 2022-09-02 02:35:04,692 - Exp comment = 
INFO - main.py - 2022-09-02 02:35:08,797 - Start Training! Env: CartPole-v0, Algorithm: BaselineReinforce
INFO - main.py - 2022-09-02 02:35:29,683 - episode: 117, steps: 39, reward: 39.0
INFO - main.py - 2022-09-02 02:35:29,819 - episode: 118, steps: 65, reward: 65.0
INFO - main.py - 2022-09-02 02:35:29,958 - episode: 119, steps: 74, reward: 74.0
INFO - main.py - 2022-09-02 02:35:30,036 - episode: 120, steps: 33, reward: 33.0
INFO - main.py - 2022-09-02 02:35:30,135 - episode: 121, steps: 49, reward: 49.0
INFO - main.py - 2022-09-02 02:35:30,211 - episode: 122, steps: 29, reward: 29.0
INFO - main.py - 2022-09-02 02:35:30,379 - episode: 123, steps: 92, reward: 92.0
INFO - main.py - 2022-09-02 02:35:30,461 - episode: 124, steps: 34, reward: 34.0
INFO - main.py - 2022-09-02 02:35:30,554 - episode: 125, steps: 43, reward: 43.0
INFO - main.py - 2022-09-02 02:35:30,650 - episode: 126, steps: 47, reward: 47.0
INFO - main.py - 2022-09-02 02:35:30,728 - episode: 127, steps: 32, reward: 32.0
INFO - main.py - 2022-09-02 02:35:30,867 - episode: 128, steps: 76, reward: 76.0
INFO - main.py - 2022-09-02 02:35:31,047 - episode: 129, steps: 104, reward: 104.0
INFO - main.py - 2022-09-02 02:35:31,110 - episode: 130, steps: 25, reward: 25.0
INFO - main.py - 2022-09-02 02:35:31,252 - episode: 131, steps: 75, reward: 75.0
INFO - main.py - 2022-09-02 02:35:31,343 - episode: 132, steps: 42, reward: 42.0
INFO - main.py - 2022-09-02 02:35:31,466 - episode: 133, steps: 65, reward: 65.0
INFO - main.py - 2022-09-02 02:35:31,580 - episode: 134, steps: 60, reward: 60.0
INFO - main.py - 2022-09-02 02:35:31,668 - episode: 135, steps: 39, reward: 39.0
INFO - main.py - 2022-09-02 02:35:31,742 - episode: 136, steps: 33, reward: 33.0
INFO - main.py - 2022-09-02 02:35:31,834 - episode: 137, steps: 45, reward: 45.0
INFO - main.py - 2022-09-02 02:35:31,906 - episode: 138, steps: 32, reward: 32.0
INFO - main.py - 2022-09-02 02:35:31,994 - episode: 139, steps: 40, reward: 40.0
INFO - main.py - 2022-09-02 02:35:32,099 - episode: 140, steps: 54, reward: 54.0
INFO - main.py - 2022-09-02 02:35:32,174 - episode: 141, steps: 31, reward: 31.0
INFO - main.py - 2022-09-02 02:35:32,230 - episode: 142, steps: 20, reward: 20.0
INFO - main.py - 2022-09-02 02:35:32,305 - episode: 143, steps: 33, reward: 33.0
INFO - main.py - 2022-09-02 02:35:32,402 - episode: 144, steps: 47, reward: 47.0
INFO - main.py - 2022-09-02 02:35:32,469 - episode: 145, steps: 26, reward: 26.0
INFO - main.py - 2022-09-02 02:35:32,526 - episode: 146, steps: 21, reward: 21.0
INFO - main.py - 2022-09-02 02:35:32,618 - episode: 147, steps: 43, reward: 43.0
INFO - main.py - 2022-09-02 02:35:32,721 - episode: 148, steps: 49, reward: 49.0
INFO - main.py - 2022-09-02 02:35:32,791 - episode: 149, steps: 27, reward: 27.0
INFO - main.py - 2022-09-02 02:35:32,866 - episode: 150, steps: 31, reward: 31.0
INFO - main.py - 2022-09-02 02:35:32,940 - episode: 151, steps: 29, reward: 29.0
INFO - main.py - 2022-09-02 02:35:33,053 - episode: 152, steps: 57, reward: 57.0
INFO - main.py - 2022-09-02 02:35:33,130 - episode: 153, steps: 34, reward: 34.0
INFO - main.py - 2022-09-02 02:35:33,221 - episode: 154, steps: 45, reward: 45.0
INFO - main.py - 2022-09-02 02:35:33,284 - episode: 155, steps: 25, reward: 25.0
INFO - main.py - 2022-09-02 02:35:33,341 - episode: 156, steps: 21, reward: 21.0
INFO - main.py - 2022-09-02 02:35:33,430 - episode: 157, steps: 39, reward: 39.0
INFO - main.py - 2022-09-02 02:35:33,520 - episode: 158, steps: 43, reward: 43.0
INFO - main.py - 2022-09-02 02:35:33,624 - episode: 159, steps: 47, reward: 47.0
INFO - main.py - 2022-09-02 02:35:33,680 - episode: 160, steps: 18, reward: 18.0
INFO - main.py - 2022-09-02 02:35:33,756 - episode: 161, steps: 33, reward: 33.0
INFO - main.py - 2022-09-02 02:35:33,830 - episode: 162, steps: 32, reward: 32.0
INFO - main.py - 2022-09-02 02:35:34,009 - episode: 163, steps: 105, reward: 105.0
INFO - main.py - 2022-09-02 02:35:34,086 - episode: 164, steps: 34, reward: 34.0
INFO - main.py - 2022-09-02 02:35:34,169 - episode: 165, steps: 37, reward: 37.0
INFO - main.py - 2022-09-02 02:35:34,240 - episode: 166, steps: 30, reward: 30.0
INFO - main.py - 2022-09-02 02:35:34,314 - episode: 167, steps: 31, reward: 31.0
INFO - main.py - 2022-09-02 02:35:34,394 - episode: 168, steps: 36, reward: 36.0
INFO - main.py - 2022-09-02 02:35:34,487 - episode: 169, steps: 40, reward: 40.0
INFO - main.py - 2022-09-02 02:35:34,573 - episode: 170, steps: 40, reward: 40.0
INFO - main.py - 2022-09-02 02:35:34,731 - episode: 171, steps: 89, reward: 89.0
INFO - main.py - 2022-09-02 02:35:34,883 - episode: 172, steps: 85, reward: 85.0
INFO - main.py - 2022-09-02 02:35:34,980 - episode: 173, steps: 48, reward: 48.0
INFO - main.py - 2022-09-02 02:35:35,130 - episode: 174, steps: 82, reward: 82.0
INFO - main.py - 2022-09-02 02:35:35,226 - episode: 175, steps: 47, reward: 47.0
INFO - main.py - 2022-09-02 02:35:35,327 - episode: 176, steps: 49, reward: 49.0
INFO - main.py - 2022-09-02 02:35:35,423 - episode: 177, steps: 46, reward: 46.0
INFO - main.py - 2022-09-02 02:35:35,514 - episode: 178, steps: 43, reward: 43.0
INFO - main.py - 2022-09-02 02:35:35,591 - episode: 179, steps: 34, reward: 34.0
INFO - main.py - 2022-09-02 02:35:35,701 - episode: 180, steps: 55, reward: 55.0
INFO - main.py - 2022-09-02 02:35:35,834 - episode: 181, steps: 70, reward: 70.0
INFO - main.py - 2022-09-02 02:35:35,930 - episode: 182, steps: 47, reward: 47.0
INFO - main.py - 2022-09-02 02:35:36,046 - episode: 183, steps: 59, reward: 59.0
INFO - main.py - 2022-09-02 02:35:36,199 - episode: 184, steps: 84, reward: 84.0
INFO - main.py - 2022-09-02 02:35:36,365 - episode: 185, steps: 95, reward: 95.0
INFO - main.py - 2022-09-02 02:35:36,481 - episode: 186, steps: 60, reward: 60.0
INFO - main.py - 2022-09-02 02:35:36,570 - episode: 187, steps: 41, reward: 41.0
INFO - main.py - 2022-09-02 02:35:36,657 - episode: 188, steps: 39, reward: 39.0
INFO - main.py - 2022-09-02 02:35:36,853 - episode: 189, steps: 108, reward: 108.0
INFO - main.py - 2022-09-02 02:35:37,073 - episode: 190, steps: 129, reward: 129.0
INFO - main.py - 2022-09-02 02:35:37,220 - episode: 191, steps: 82, reward: 82.0
INFO - main.py - 2022-09-02 02:35:37,330 - episode: 192, steps: 56, reward: 56.0
INFO - main.py - 2022-09-02 02:35:37,482 - episode: 193, steps: 84, reward: 84.0
INFO - main.py - 2022-09-02 02:35:37,600 - episode: 194, steps: 57, reward: 57.0
INFO - main.py - 2022-09-02 02:35:37,692 - episode: 195, steps: 42, reward: 42.0
INFO - main.py - 2022-09-02 02:35:37,822 - episode: 196, steps: 68, reward: 68.0
INFO - main.py - 2022-09-02 02:35:37,946 - episode: 197, steps: 63, reward: 63.0
INFO - main.py - 2022-09-02 02:35:38,010 - episode: 198, steps: 26, reward: 26.0
INFO - main.py - 2022-09-02 02:35:38,072 - episode: 199, steps: 23, reward: 23.0
INFO - main.py - 2022-09-02 02:35:38,212 - episode: 200, steps: 74, reward: 74.0
INFO - main.py - 2022-09-02 02:35:38,346 - episode: 201, steps: 70, reward: 70.0
INFO - main.py - 2022-09-02 02:35:38,488 - episode: 202, steps: 72, reward: 72.0
INFO - main.py - 2022-09-02 02:35:38,605 - episode: 203, steps: 60, reward: 60.0
INFO - main.py - 2022-09-02 02:35:38,848 - episode: 204, steps: 141, reward: 141.0
INFO - main.py - 2022-09-02 02:35:38,957 - episode: 205, steps: 54, reward: 54.0
INFO - main.py - 2022-09-02 02:35:39,085 - episode: 206, steps: 66, reward: 66.0
INFO - main.py - 2022-09-02 02:35:39,207 - episode: 207, steps: 61, reward: 61.0
INFO - main.py - 2022-09-02 02:35:39,310 - episode: 208, steps: 50, reward: 50.0
INFO - main.py - 2022-09-02 02:35:39,450 - episode: 209, steps: 70, reward: 70.0
INFO - main.py - 2022-09-02 02:35:39,626 - episode: 210, steps: 99, reward: 99.0
INFO - main.py - 2022-09-02 02:35:39,731 - episode: 211, steps: 51, reward: 51.0
INFO - main.py - 2022-09-02 02:35:39,879 - episode: 212, steps: 79, reward: 79.0
INFO - main.py - 2022-09-02 02:35:39,965 - episode: 213, steps: 39, reward: 39.0
INFO - main.py - 2022-09-02 02:35:40,069 - episode: 214, steps: 52, reward: 52.0
INFO - main.py - 2022-09-02 02:35:40,222 - episode: 215, steps: 86, reward: 86.0
INFO - main.py - 2022-09-02 02:35:40,291 - episode: 216, steps: 26, reward: 26.0
INFO - main.py - 2022-09-02 02:35:40,354 - episode: 217, steps: 24, reward: 24.0
INFO - main.py - 2022-09-02 02:35:40,498 - episode: 218, steps: 79, reward: 79.0
INFO - main.py - 2022-09-02 02:35:40,709 - episode: 219, steps: 126, reward: 126.0
INFO - main.py - 2022-09-02 02:35:40,805 - episode: 220, steps: 47, reward: 47.0
INFO - main.py - 2022-09-02 02:35:40,869 - episode: 221, steps: 25, reward: 25.0
INFO - main.py - 2022-09-02 02:35:40,927 - episode: 222, steps: 21, reward: 21.0
INFO - main.py - 2022-09-02 02:35:41,104 - episode: 223, steps: 101, reward: 101.0
INFO - main.py - 2022-09-02 02:35:41,251 - episode: 224, steps: 80, reward: 80.0
INFO - main.py - 2022-09-02 02:35:41,342 - episode: 225, steps: 43, reward: 43.0
INFO - main.py - 2022-09-02 02:35:41,421 - episode: 226, steps: 35, reward: 35.0
INFO - main.py - 2022-09-02 02:35:41,492 - episode: 227, steps: 30, reward: 30.0
INFO - main.py - 2022-09-02 02:35:41,617 - episode: 228, steps: 65, reward: 65.0
INFO - main.py - 2022-09-02 02:35:41,769 - episode: 229, steps: 85, reward: 85.0
INFO - main.py - 2022-09-02 02:35:41,890 - episode: 230, steps: 60, reward: 60.0
INFO - main.py - 2022-09-02 02:35:42,010 - episode: 231, steps: 60, reward: 60.0
INFO - main.py - 2022-09-02 02:35:42,246 - episode: 232, steps: 139, reward: 139.0
INFO - main.py - 2022-09-02 02:35:42,348 - episode: 233, steps: 51, reward: 51.0
INFO - main.py - 2022-09-02 02:35:42,418 - episode: 234, steps: 31, reward: 31.0
INFO - main.py - 2022-09-02 02:35:42,537 - episode: 235, steps: 63, reward: 63.0
INFO - main.py - 2022-09-02 02:35:42,652 - episode: 236, steps: 59, reward: 59.0
INFO - main.py - 2022-09-02 02:35:42,766 - episode: 237, steps: 57, reward: 57.0
INFO - main.py - 2022-09-02 02:35:42,851 - episode: 238, steps: 37, reward: 37.0
INFO - main.py - 2022-09-02 02:35:43,100 - episode: 239, steps: 146, reward: 146.0
INFO - main.py - 2022-09-02 02:35:43,240 - episode: 240, steps: 76, reward: 76.0
INFO - main.py - 2022-09-02 02:35:43,337 - episode: 241, steps: 48, reward: 48.0
INFO - main.py - 2022-09-02 02:35:43,468 - episode: 242, steps: 71, reward: 71.0
INFO - main.py - 2022-09-02 02:35:43,561 - episode: 243, steps: 44, reward: 44.0
INFO - main.py - 2022-09-02 02:35:43,641 - episode: 244, steps: 33, reward: 33.0
INFO - main.py - 2022-09-02 02:35:43,789 - episode: 245, steps: 78, reward: 78.0
INFO - main.py - 2022-09-02 02:35:43,961 - episode: 246, steps: 94, reward: 94.0
INFO - main.py - 2022-09-02 02:35:44,129 - episode: 247, steps: 97, reward: 97.0
INFO - main.py - 2022-09-02 02:35:44,267 - episode: 248, steps: 73, reward: 73.0
INFO - main.py - 2022-09-02 02:35:44,430 - episode: 249, steps: 93, reward: 93.0
INFO - main.py - 2022-09-02 02:35:44,579 - episode: 250, steps: 84, reward: 84.0
INFO - main.py - 2022-09-02 02:35:44,763 - episode: 251, steps: 106, reward: 106.0
INFO - main.py - 2022-09-02 02:35:44,916 - episode: 252, steps: 83, reward: 83.0
INFO - main.py - 2022-09-02 02:35:45,056 - episode: 253, steps: 79, reward: 79.0
INFO - main.py - 2022-09-02 02:35:45,138 - episode: 254, steps: 39, reward: 39.0
INFO - main.py - 2022-09-02 02:35:45,216 - episode: 255, steps: 35, reward: 35.0
INFO - main.py - 2022-09-02 02:35:45,317 - episode: 256, steps: 53, reward: 53.0
INFO - main.py - 2022-09-02 02:35:45,403 - episode: 257, steps: 41, reward: 41.0
INFO - main.py - 2022-09-02 02:35:45,457 - episode: 258, steps: 18, reward: 18.0
INFO - main.py - 2022-09-02 02:35:45,528 - episode: 259, steps: 31, reward: 31.0
INFO - main.py - 2022-09-02 02:35:45,633 - episode: 260, steps: 53, reward: 53.0
INFO - main.py - 2022-09-02 02:35:45,790 - episode: 261, steps: 87, reward: 87.0
INFO - main.py - 2022-09-02 02:35:46,073 - episode: 262, steps: 172, reward: 172.0
INFO - main.py - 2022-09-02 02:35:46,141 - episode: 263, steps: 28, reward: 28.0
INFO - main.py - 2022-09-02 02:35:46,219 - episode: 264, steps: 35, reward: 35.0
INFO - main.py - 2022-09-02 02:35:46,342 - episode: 265, steps: 65, reward: 65.0
INFO - main.py - 2022-09-02 02:35:46,489 - episode: 266, steps: 81, reward: 81.0
INFO - main.py - 2022-09-02 02:35:46,580 - episode: 267, steps: 45, reward: 45.0
INFO - main.py - 2022-09-02 02:35:46,689 - episode: 268, steps: 57, reward: 57.0
INFO - main.py - 2022-09-02 02:35:46,895 - episode: 269, steps: 119, reward: 119.0
INFO - main.py - 2022-09-02 02:35:47,078 - episode: 270, steps: 106, reward: 106.0
INFO - main.py - 2022-09-02 02:35:47,179 - episode: 271, steps: 52, reward: 52.0
INFO - main.py - 2022-09-02 02:35:47,266 - episode: 272, steps: 41, reward: 41.0
INFO - main.py - 2022-09-02 02:35:47,372 - episode: 273, steps: 53, reward: 53.0
INFO - main.py - 2022-09-02 02:35:47,497 - episode: 274, steps: 67, reward: 67.0
INFO - main.py - 2022-09-02 02:35:47,573 - episode: 275, steps: 34, reward: 34.0
INFO - main.py - 2022-09-02 02:35:47,758 - episode: 276, steps: 104, reward: 104.0
INFO - main.py - 2022-09-02 02:35:47,825 - episode: 277, steps: 27, reward: 27.0
INFO - main.py - 2022-09-02 02:35:47,924 - episode: 278, steps: 50, reward: 50.0
INFO - main.py - 2022-09-02 02:35:48,101 - episode: 279, steps: 102, reward: 102.0
INFO - main.py - 2022-09-02 02:35:48,248 - episode: 280, steps: 82, reward: 82.0
INFO - main.py - 2022-09-02 02:35:48,391 - episode: 281, steps: 79, reward: 79.0
INFO - main.py - 2022-09-02 02:35:48,623 - episode: 282, steps: 136, reward: 136.0
INFO - main.py - 2022-09-02 02:35:48,828 - episode: 283, steps: 124, reward: 124.0
INFO - main.py - 2022-09-02 02:35:48,953 - episode: 284, steps: 81, reward: 81.0
INFO - main.py - 2022-09-02 02:35:49,060 - episode: 285, steps: 67, reward: 67.0
INFO - main.py - 2022-09-02 02:35:49,164 - episode: 286, steps: 64, reward: 64.0
INFO - main.py - 2022-09-02 02:35:49,276 - episode: 287, steps: 71, reward: 71.0
INFO - main.py - 2022-09-02 02:35:49,409 - episode: 288, steps: 89, reward: 89.0
INFO - main.py - 2022-09-02 02:35:49,514 - episode: 289, steps: 63, reward: 63.0
INFO - main.py - 2022-09-02 02:35:49,626 - episode: 290, steps: 68, reward: 68.0
INFO - main.py - 2022-09-02 02:35:49,825 - episode: 291, steps: 145, reward: 145.0
