INFO - main.py - 2022-08-29 10:41:55,076 - Using device:cuda
INFO - main.py - 2022-08-29 10:41:55,077 - Writing log file to algorithms/DQN/logs
INFO - main.py - 2022-08-29 10:41:55,118 - Exp instance id = 41593
INFO - main.py - 2022-08-29 10:41:55,118 - Exp comment = 
INFO - main.py - 2022-08-29 10:41:58,680 - Start Training! Env: CartPole-v0, Algorithm: DQN
INFO - main.py - 2022-08-29 10:47:44,291 - episode: 146, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:47:47,982 - episode: 147, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:47:51,423 - episode: 148, steps: 188, reward: 188.0
INFO - main.py - 2022-08-29 10:47:55,142 - episode: 149, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:47:58,804 - episode: 150, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:48:02,540 - episode: 151, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:48:06,051 - episode: 152, steps: 194, reward: 194.0
INFO - main.py - 2022-08-29 10:48:09,705 - episode: 153, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:48:13,200 - episode: 154, steps: 191, reward: 191.0
INFO - main.py - 2022-08-29 10:48:16,896 - episode: 155, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:48:20,595 - episode: 156, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:48:24,302 - episode: 157, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:48:27,964 - episode: 158, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:48:31,632 - episode: 159, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:48:35,339 - episode: 160, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:48:39,042 - episode: 161, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:48:42,720 - episode: 162, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:48:46,265 - episode: 163, steps: 194, reward: 194.0
INFO - main.py - 2022-08-29 10:48:49,930 - episode: 164, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:48:53,643 - episode: 165, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:48:57,256 - episode: 166, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:49:00,954 - episode: 167, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:49:04,548 - episode: 168, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:49:08,221 - episode: 169, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:49:11,838 - episode: 170, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:49:15,447 - episode: 171, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:49:19,134 - episode: 172, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:49:22,800 - episode: 173, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:49:26,433 - episode: 174, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:49:30,053 - episode: 175, steps: 200, reward: 200.0
