INFO - main.py - 2022-08-29 21:58:53,527 - Using device:cuda
INFO - main.py - 2022-08-29 21:58:53,527 - Writing log file to algorithms/Reinforce/logs
INFO - main.py - 2022-08-29 21:58:53,528 - Exp instance id = 1695
INFO - main.py - 2022-08-29 21:58:53,528 - Exp comment = 
INFO - main.py - 2022-08-29 21:58:57,264 - Start Training! Env: CartPole-v0, Algorithm: Reinforce
INFO - main.py - 2022-08-29 21:59:18,810 - episode: 133, steps: 11, reward: 11.0
INFO - main.py - 2022-08-29 21:59:18,850 - episode: 134, steps: 20, reward: 20.0
INFO - main.py - 2022-08-29 21:59:18,887 - episode: 135, steps: 19, reward: 19.0
INFO - main.py - 2022-08-29 21:59:18,917 - episode: 136, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 21:59:18,957 - episode: 137, steps: 20, reward: 20.0
INFO - main.py - 2022-08-29 21:59:18,993 - episode: 138, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 21:59:19,030 - episode: 139, steps: 19, reward: 19.0
INFO - main.py - 2022-08-29 21:59:19,060 - episode: 140, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 21:59:19,092 - episode: 141, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 21:59:19,133 - episode: 142, steps: 22, reward: 22.0
INFO - main.py - 2022-08-29 21:59:19,167 - episode: 143, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 21:59:19,209 - episode: 144, steps: 22, reward: 22.0
INFO - main.py - 2022-08-29 21:59:19,245 - episode: 145, steps: 18, reward: 18.0
INFO - main.py - 2022-08-29 21:59:19,283 - episode: 146, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 21:59:19,327 - episode: 147, steps: 25, reward: 25.0
INFO - main.py - 2022-08-29 21:59:19,359 - episode: 148, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 21:59:19,409 - episode: 149, steps: 23, reward: 23.0
INFO - main.py - 2022-08-29 21:59:19,446 - episode: 150, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 21:59:19,537 - episode: 151, steps: 53, reward: 53.0
INFO - main.py - 2022-08-29 21:59:19,589 - episode: 152, steps: 19, reward: 19.0
INFO - main.py - 2022-08-29 21:59:19,648 - episode: 153, steps: 24, reward: 24.0
INFO - main.py - 2022-08-29 21:59:19,757 - episode: 154, steps: 12, reward: 12.0
INFO - main.py - 2022-08-29 21:59:19,807 - episode: 155, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 21:59:19,846 - episode: 156, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 21:59:19,884 - episode: 157, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 21:59:19,941 - episode: 158, steps: 33, reward: 33.0
INFO - main.py - 2022-08-29 21:59:19,979 - episode: 159, steps: 20, reward: 20.0
INFO - main.py - 2022-08-29 21:59:20,029 - episode: 160, steps: 30, reward: 30.0
INFO - main.py - 2022-08-29 21:59:20,064 - episode: 161, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 21:59:20,104 - episode: 162, steps: 22, reward: 22.0
INFO - main.py - 2022-08-29 21:59:20,143 - episode: 163, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 21:59:20,187 - episode: 164, steps: 24, reward: 24.0
INFO - main.py - 2022-08-29 21:59:20,227 - episode: 165, steps: 21, reward: 21.0
INFO - main.py - 2022-08-29 21:59:20,288 - episode: 166, steps: 38, reward: 38.0
INFO - main.py - 2022-08-29 21:59:20,324 - episode: 167, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 21:59:20,372 - episode: 168, steps: 25, reward: 25.0
